address,maxClaimable
0xade3d1d8EfD740be89f8f0Ea3b06c29b4F8d63B5,1
0x9395346aF1A1FCDB714b5E04cf47B548161f9D55,1
0x5f493BA088fccCbe97F0518b4B815F3Be1505b42,1
0x293d7521D7E7C0A906453714599BFD0E9f431f24,1
0x94aCF78c134B86Ce62AB94eCd461A880EDc4DB20,1
0x1E565EF1d48D5197eb8581b1E3232D77FF791D52,1
0x2B8337Cd6b1d8B79E67A3876e15B31aa134d2eF5,1
0x8A843D756E00D80661f55600585c2A24035b82cd,1
0x20d868e3c2Ea40ada81627612121f6A9d33763Ba,1
0xc7f9A97B4a41E8C20b57d70B113Db6aC660300B0,1
0x9eda9943e341891dc4b8e12043cf0e723e83313b,1
0x5db7Cad245BC89AD19ce54C4B7B2547666A42148,1
0x8E3c411ac5CEB08775CaDca3e06B6E9c11cE41D4,1
0x4FDeA483D9608a96f5043349a6DF2205e203C727,1
0x731A90339e2087DD0C3366b06571878Cf3E960Ae,1
0x3a9C2c85b8F53df93C0D11a0A0e9705b99EC0D20,1
0x6Bc568C31F77231DAF22e1f92840bce561b84791,1
0xa6532F20166AF3492e8029eB3B8c773CC0382E5f,1
0xdB46fD99eD2962a7AAd89279890ffcD6a2e733eF,1
0xf7DC43d8bBBef5D3900865Ef3A5d0F5278cCe38D,1
0x9DCD90E8c57b76d302240f0417222A56c70ebb52,1
0x70544765c44a684e77952eFBE965727C875Cffe3,1
0xB664C05eAAbD5641d02BD9816758c2CE790b046e,1
0x11e0Ad2173A6BFB25cFfC288a0573814299F9b74,1
0xBD92F28064Fe0EE032F155fbce912508c60f3d50,1
0x700a023F22C4a4fBFDEEd3d00B951Ef8eA932bE1,1
0x55aAd92Db82a7Cd81eA3B35cA8Fbc85bED1f0152,1
0xf2d011008EB6D0574180d6A39D84Bba230F554b9,1
0xae4281b5960a51D411F346C71C1a18572529E273,1
0x6EFa8d3d13112A66312b7E1aF609455eE0A807B4,1
0x0bA80178ebE7eaD7DC206bea62Ef9FE06d35cd6e,1
